Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,AK,Aleutians East,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2013,"(55.440626, -161.962562)"
2014,AK,Aleutians West,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2016,"(52.995403, -170.251538)"
2014,AK,Anchorage,County,NVSS,Cardiovascular Diseases,Stroke Mortality,64.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2020,"(61.159049, -149.103905)"
2014,AK,Bethel,County,NVSS,Cardiovascular Diseases,Stroke Mortality,80,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2050,"(60.924483, -159.749655)"
2014,AK,Bristol Bay,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2060,"(58.754192, -156.694709)"
2014,AK,Denali,County,NVSS,Cardiovascular Diseases,Stroke Mortality,68.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2068,"(63.678399, -149.962076)"
2014,AK,Dillingham,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2070,"(59.803151, -158.181608)"
2014,AK,Fairbanks North Star,County,NVSS,Cardiovascular Diseases,Stroke Mortality,70,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2090,"(64.809327, -146.586265)"
2014,AK,Juneau,County,NVSS,Cardiovascular Diseases,Stroke Mortality,49.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2110,"(58.478434, -134.150437)"
2014,AK,Kenai Peninsula,County,NVSS,Cardiovascular Diseases,Stroke Mortality,76.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2122,"(60.271254, -151.556972)"
2014,AK,Kodiak Island,County,NVSS,Cardiovascular Diseases,Stroke Mortality,72.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2150,"(57.715045, -153.83609)"
2014,AK,Lake and Peninsula,County,NVSS,Cardiovascular Diseases,Stroke Mortality,71.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2164,"(58.652287, -156.184325)"
2014,AK,Matanuska-Susitna,County,NVSS,Cardiovascular Diseases,Stroke Mortality,76,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2170,"(62.31628, -149.600476)"
2014,AK,Nome,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2180,"(64.90346, -163.947945)"
2014,AK,Northwest Arctic,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2188,"(67.065111, -159.726506)"
2014,AK,Prince of Wales-Outer Ketchikan,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2201,"(55.568424, -131.637524)"
2014,AK,Skagway-Hoonah-Angoon,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2232,"(58.268082, -135.254153)"
2014,AK,Southeast Fairbanks,County,NVSS,Cardiovascular Diseases,Stroke Mortality,76.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2240,"(63.867414, -143.22069)"
2014,AK,Valdez-Cordova,County,NVSS,Cardiovascular Diseases,Stroke Mortality,70.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2261,"(61.536161, -144.339956)"
2014,AK,Wade Hampton,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2270,"(62.159714, -163.349484)"
2014,AK,Wrangell-Petersburg,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2280,"(56.620527, -132.6886)"
2014,AK,Yakutat,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Overall,Race/Ethnicity,White,T6,2282,"(59.792724, -139.746659)"
2014,AK,Yukon-Koyukuk,County,NVSS,Cardiovascular Diseases,Stroke Mortality,76.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T6,2290,"(65.50404, -151.41038)"
2014,AK,Aleutians East,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2013,"(55.440626, -161.962562)"
2014,AK,Aleutians West,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2016,"(52.995403, -170.251538)"
2014,AK,Anchorage,County,NVSS,Cardiovascular Diseases,Stroke Mortality,70.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2020,"(61.159049, -149.103905)"
2014,AK,Bethel,County,NVSS,Cardiovascular Diseases,Stroke Mortality,89.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2050,"(60.924483, -159.749655)"
2014,AK,Bristol Bay,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2060,"(58.754192, -156.694709)"
2014,AK,Denali,County,NVSS,Cardiovascular Diseases,Stroke Mortality,80.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2068,"(63.678399, -149.962076)"
2014,AK,Dillingham,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2070,"(59.803151, -158.181608)"
2014,AK,Fairbanks North Star,County,NVSS,Cardiovascular Diseases,Stroke Mortality,88.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2090,"(64.809327, -146.586265)"
2014,AK,Haines,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2100,"(59.140721, -135.513878)"
2014,AK,Kenai Peninsula,County,NVSS,Cardiovascular Diseases,Stroke Mortality,84.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2122,"(60.271254, -151.556972)"
2014,AK,Kodiak Island,County,NVSS,Cardiovascular Diseases,Stroke Mortality,71.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2150,"(57.715045, -153.83609)"
2014,AK,Lake and Peninsula,County,NVSS,Cardiovascular Diseases,Stroke Mortality,78.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2164,"(58.652287, -156.184325)"
2014,AK,Matanuska-Susitna,County,NVSS,Cardiovascular Diseases,Stroke Mortality,86.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T6,2170,"(62.31628, -149.600476)"
2014,AK,Nome,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2180,"(64.90346, -163.947945)"
2014,AK,Northwest Arctic,County,NVSS,Cardiovascular Diseases,Stroke Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Gender,Male,Race/Ethnicity,White,T6,2188,"(67.065111, -159.726506)"
